id,tokens,ner_tags,input_ids,token_type_ids,attention_mask,labels,true_labels,pred_labels,reward
10,"['@Suzie55' 'whispering' 'cause' 'I' 'may' 'have' 'had' '1' 'too' 'many'
 'vodka' ""'s"" 'last' 'night' 'and' 'am' 'a' 'lil' 'fragile' ',' 'hold'
 'me' '?']",[ 0  0  0  0  0  0  0  0  0  0 11  0  0  0  0  0  0  0  0  0  0  0  0],"[  101  1030 10514 14272 24087 13550  3426  1045  2089  2031  2018  1015
  2205  2116 21092  1005  1055  2197  2305  1998  2572  1037 13451 13072
  1010  2907  2033  1029   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100 -100    0    0    0    0    0    0    0    0    0
   11    0 -100    0    0    0    0    0    0    0    0    0    0    0
 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
11,"['#NFL' 'Week' '2' 'picks' 'blog' 'is' 'up' 'on' '@The_Score' 'website'
 '...' 'http://blogs.thescore.com/nfl/2010/09/17/pizzolaw2/']",[0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1001  5088  2733  1016 11214  9927  2003  2039  2006  1030  1996
  1035  3556  4037  1012  1012  1012  8299  1024  1013  1013 23012  1012
  1996  9363  2890  1012  4012  1013  5088  1013  2230  1013  5641  1013
  2459  1013 14255 12036 14919  2475  1013   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]","[-100    0 -100    0    0    0    0    0    0    0    0 -100 -100 -100
    0    0 -100 -100    0 -100 -100 -100 -100 -100 -100 -100 -100 -100
 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100
 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
12,['I' 'like' '@SouljaBoy' 'songs' 'after' 'a' 'few' 'drinks'],[0 0 0 0 0 0 0 0],"[  101  1045  2066  1030  3969  3900 11097  2774  2044  1037  2261  8974
   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1],[-100    0    0    0 -100 -100 -100    0    0    0    0    0 -100],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
13,"['...' 'asked' 'me' 'a' 'question' 'for' 'once' ',' 'but' 'no' '!' 'You'
 'ask' 'me' 'about' 'fucking' 'donuts' 'you' 'donut' '...' 'have' 'a'
 'nice' 'day' ':P']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1012  1012  1012  2356  2033  1037  3160  2005  2320  1010  2021
  2053   999  2017  3198  2033  2055  8239  2123 16446  2017  2123  4904
  1012  1012  1012  2031  1037  3835  2154  1024  1052   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0 -100    0    0 -100    0 -100 -100    0
    0    0    0    0 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
14,"['every' 'year' 'your' '""' 'bestfriend' '""' 'get' 'yo' 'ass' 'in'
 'trouble' 'smdh' '#doinme']",[0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  2296  2095  2115  1000  2190 19699  9013  2094  1000  2131 10930
  4632  1999  4390 15488 16425  1001 24341  4168   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0 -100 -100 -100    0    0    0    0    0
    0    0 -100    0 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
15,"['RT' '@midgetmegs' ':' 'hate' 'people' 'who' 'write' 'drunk' ""status'.""
 'must' 'be' 'having' 'a' 'great' 'time' 'if' 'your' 'sat' 'writing' 'it'
 'on' 'facebook' '.....']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],"[  101 19387  1030  3054 18150  4168  5620  1024  5223  2111  2040  4339
  7144  3570  1005  1012  2442  2022  2383  1037  2307  2051  2065  2115
  2938  3015  2009  2006  9130  1012  1012  1012  1012  1012   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0 -100 -100 -100 -100    0    0    0    0    0    0    0
 -100 -100    0    0    0    0    0    0    0    0    0    0    0    0
    1    0 -100 -100 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
16,"['@MrzEndy' 'tru' 'tru' 'I' ""'m"" 'leavin' 'again' 'on' 'Tuesday' 'yo']",[0 0 0 0 0 0 0 0 0 0],"[  101  1030  2720 10431  5149 19817  2226 19817  2226  1045  1005  1049
 12203  6371  2153  2006  9857 10930   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100 -100    0 -100    0 -100    0    0 -100    0 -100
    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
17,"['The' 'guys' 'are' 'cooking' 'about' 'a' 'dozen' 'pizzas' 'at' 'our'
 'house' 'for' 'the' 'tailgate' 'tonight' '.' 'Nonetheless' 'it' 'smells'
 'fresh' 'in' 'this' 'place' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1996  4364  2024  8434  2055  1037  6474 10733  2015  2012  2256
  2160  2005  1996  5725  5867  3892  1012  9690  2009 14747  4840  1999
  2023  2173  1012   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0    0 -100    0    0    0    0
    0    0 -100    0    0    0    0    0    0    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
18,"['I' 'heart' 'Park(ing' ')' 'Day' '!' 'Photo' 'of' 'meter' 'shark' ':'
 'http://bit.ly/aQun1b']",[0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1045  2540  2380  1006 13749  1007  2154   999  6302  1997  8316
 11420  1024  8299  1024  1013  1013  2978  1012  1048  2100  1013  1037
 28940  2078  2487  2497   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0 -100 -100    0    0    0    0    0    0    0    0
    0 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100
 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
19,['hows' 'everyones' 'day' 'goin' '?'],[0 0 0 0 0],[  101  2129  2015  3071  2015  2154 17249  1029   102],[0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1],[-100    0 -100    0 -100    0    0    0 -100],"['O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O']",10.0
20,"['@Phoebe1_' 'and' 'i' 'also' 'loved' 'the' 'last' 'years' 'eurovision'
 'entry' '!!' 'hoppaa' '!' 'they' 'were' 'cool' 'too' '!!']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1030 18188  2487  1035  1998  1045  2036  3866  1996  2197  2086
 12714  4443   999   999  6154  4502  2050   999  2027  2020  4658  2205
   999   999   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100 -100    0    0    0    0    0    0    0    0    0
    0 -100    0 -100 -100    0    0    0    0    0    0 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
21,"['MetroPCS' 'has' 'the' 'worst' 'customer' 'service' 'I' ""'ve""
 'experienced' 'in' 'months' '(' 'trying' 'to' 'help' 'someone' 'order'
 'a' 'phone' ')' '#metropcs' '#fail']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  6005 15042  2015  2038  1996  5409  8013  2326  1045  1005  2310
  5281  1999  2706  1006  2667  2000  2393  2619  2344  1037  3042  1007
  1001  6005 15042  2015  1001  8246   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    1 -100 -100    0    0    0    0    0    0    0 -100    0    0
    0    0    0    0    0    0    0    0    0    0    0 -100 -100 -100
    0 -100 -100]","['B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
22,"['@xSophieBx' 'He' 'has' 'a' 'habit' 'of' 'tweeting' 'at' 'the' 'same'
 'time' 'as' 'you' 'lol']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1030  1060 28793  4048 15878  2595  2002  2038  1037 10427  1997
  1056 28394  3436  2012  1996  2168  2051  2004  2017  8840  2140   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100 -100 -100 -100    0    0    0    0    0    0 -100
 -100    0    0    0    0    0    0    0 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
23,"['A' 'TRUE' 'friend' 'walks' 'in' 'when' 'everybody' 'else' 'walks' 'out'
 '!']",[0 0 0 0 0 0 0 0 0 0 0],[ 101 1037 2995 2767 7365 1999 2043 7955 2842 7365 2041  999  102],[0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1],[-100    0    0    0    0    0    0    0    0    0    0    0 -100],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
24,"['Yay' '.' '@penguin' 'is' 'coming' 'to' 'see' 'me' 'next' 'week' '...'
 'plotting' 'my' 'cooking' 'now' '!']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  8038  2100  1012  1030 13987  2003  2746  2000  2156  2033  2279
  2733  1012  1012  1012 20699  2026  8434  2085   999   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100    0    0 -100    0    0    0    0    0    0    0    0
 -100 -100    0    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
25,"['@_mistercory' '*Smiles' 'up' 'at' 'him*' 'Can' 'we' 'just' '...' 'sit'
 'together' 'for' 'a' 'while' 'before' 'round' 'two' '?']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1030  1035 12525 27108  2100  1008  8451  2039  2012  2032  1008
  2064  2057  2074  1012  1012  1012  4133  2362  2005  1037  2096  2077
  2461  2048  1029   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100 -100 -100    0 -100    0    0    0 -100    0    0
    0    0 -100 -100    0    0    0    0    0    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
26,"['the' 'tears' 'may' 'have' 'been' 'and' 'gone' ',' 'but' 'the' 'feeling'
 'still' 'stay' 'the' 'same' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[ 101 1996 4000 2089 2031 2042 1998 2908 1010 2021 1996 3110 2145 2994
 1996 2168 1012  102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
27,"['@BieberEgypt' 'I' ""'ve"" 'got' 'some' 'bad' 'news' ',' 'Yeah' 'I' 'cant'
 'come' 'to' 'the' 'meeting' 'tomorrow' '.' ':' 'S']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1030 12170 22669 13910 22571  2102  1045  1005  2310  2288  2070
  2919  2739  1010  3398  1045  2064  2102  2272  2000  1996  3116  4826
  1012  1024  1055   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100 -100 -100 -100    0    0 -100    0    0    0    0
    0    0    0    0 -100    0    0    0    0    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
